hospital,admissions
?,69463
InternalMedicine,20403
Emergency/Trauma,11595
Family/GeneralPractice,10508
Cardiology,7473
Surgery-General,4387
Orthopedics,2236
Nephrology,1918
Orthopedics-Reconstructive,1867
Radiologist,1611
Pulmonology,1334
Psychiatry,1246
Surgery-Cardiovascular/Thoracic,1051
Urology,975
ObstetricsandGynecology,796
Gastroenterology,791
Surgery-Vascular,791
Surgery-Neuro,727
PhysicalMedicineandRehabilitation,546
Oncology,475
Neurology,316
Pediatrics,303
Hematology/Oncology,272
Otolaryngology,184
Surgery-Thoracic,183
Psychology,179
Surgery-Cardiovascular,172
Pediatrics-Endocrinology,168
Podiatry,160
Endocrinology,152
Hematology,139
Hospitalist,92
Pediatrics-CriticalCare,89
Radiology,74
Gynecology,72
Ophthalmology,67
Surgeon,62
Surgery-Plastic,60
Osteopath,60
InfectiousDiseases,53
SurgicalSpecialty,42
Obsterics&Gynecology-GynecologicOnco,33
Pediatrics-Pulmonology,25
Rheumatology,24
Obstetrics,22
OutreachServices,22
Pathology,21
Anesthesiology-Pediatric,20
Anesthesiology,19
Pediatrics-Neurology,16
PhysicianNotFound,16
Endocrinology-Metabolism,15
Surgery-Colon&Rectal,12
Surgery-Maxillofacial,12
AllergyandImmunology,10
DCPTEAM,10
Psychiatry-Child/Adolescent,9
Surgery-Pediatric,8
Cardiology-Pediatric,7
Pediatrics-Hematology-Oncology,4
Dentistry,4
Pediatrics-EmergencyMedicine,4
Dermatology,3
Pediatrics-AllergyandImmunology,3
Resident,3
Psychiatry-Addictive,2
Neurophysiology,2
Pediatrics-InfectiousDiseases,1
Proctology,1
Perinatology,1
Speech,1
SportsMedicine,1
Surgery-PlasticwithinHeadandNeck,1
