feature,importance
number_inpatient,0.08175592
diagnosis_V57,0.03299415
discharge_disposition_id,0.029557131
diagnosis_250.8,0.01748355
diagnosis_434,0.016326716
hospital_Surgery-Vascular,0.015775291
diagnosis_250.7,0.012455453
diagnosis_296,0.012391622
patient_id,0.011956844
hospital_Orthopedics-Reconstructive,0.011855505
number_emergency,0.011789044
number_diagnoses,0.011035758
diagnosis_428,0.0108986115
diagnosis_250.6,0.010646243
diagnosis_715,0.010362534
payer_code_PO,0.010043558
diagnosis_820,0.009998541
diagnosis_276,0.0098613165
admission_id,0.009811956
diagnosis_577,0.009659682
hospital_Urology,0.009579726
diagnosis_786,0.009373601
hospital_Surgery-Thoracic,0.009334975
hospital_InternalMedicine,0.009319845
payer_code_MC,0.009317942
hospital_Psychiatry,0.009074801
diagnosis_410,0.009049714
hospital_Cardiology,0.009018699
race_Hispanic,0.008978968
diagnosis_486,0.008974041
diagnosis_584,0.008904344
hospital_?,0.008899536
age_[20-30),0.00877975
diagnosis_414,0.00873023
age_[50-60),0.008683713
weight_[50-75),0.0086753275
age_[90-100),0.008511384
diagnosis_722,0.008506097
hospital_Oncology,0.008482909
hospital_Other,0.008353723
a1c_test_value_>7,0.0083324425
hospital_PhysicalMedicineandRehabilitation,0.008324523
payer_code_SP,0.008259514
hospital_Gastroenterology,0.008254365
hospital_Nephrology,0.008235367
diagnosis_493,0.008124455
diagnosis_780,0.008103469
a1c_test_value_Norm,0.008043702
glucose_test_value_>300,0.007997635
race_Caucasian,0.007864018
race_?,0.007858959
hospital_id,0.007856787
age_[30-40),0.007856177
hospital_Hematology/Oncology,0.0077997604
hospital_Pulmonology,0.0077889333
num_medications,0.0077740652
diagnosis_682,0.0076551912
hospital_Surgery-General,0.0076184673
payer_code_UN,0.007565107
length_of_stay_days,0.007461213
age_[80-90),0.0073228166
payer_code_HM,0.007271657
age_[40-50),0.007257942
weight_[100-125),0.0072509027
diagnosis_250.02,0.007239701
diagnosis_38,0.007194818
admission_source_id,0.007103474
lab_procedure_count,0.0070371307
diagnosis_427,0.006989876
diagnosis_996,0.006982565
payer_code_CM,0.006977798
hospital_Family/GeneralPractice,0.0068912744
diagnosis_435,0.0068219234
diagnosis_Other,0.0068187984
num_procedures,0.0067963633
hospital_Surgery-Cardiovascular/Thoracic,0.006730998
hospital_ObstetricsandGynecology,0.0067045665
payer_code_BC,0.006693469
diagnosis_518,0.006666445
age_group_[70-80),0.0066302884
a1c_test_value_>8,0.0065798652
glucose_test_value_Norm,0.00654626
admission_type_id,0.0065305387
age_group_[50-60),0.0065066544
glucose_test_value_>200,0.006473093
payer_code_MD,0.0063963565
number_outpatient,0.006329353
diagnosis_491,0.0062905815
gender_Female,0.0060509522
payer_code_CP,0.0060367254
weight_[75-100),0.0059482274
length_of_stay,0.005888583
hospital_Radiologist,0.00580325
hospital_Orthopedics,0.0057972022
gender_Male,0.0057875332
diagnosis_599,0.0057719313
hospital_Otolaryngology,0.0056840307
age_[60-70),0.0056415135
payer_code_OG,0.0055461205
age_[70-80),0.0055341288
age_group_[60-70),0.005435285
race_AfricanAmerican,0.005393014
hospital_Psychology,0.0053439215
race_Other,0.00511592
payer_code_WC,0.00505498
age_[10-20),0.0049849404
hospital_Pediatrics-Endocrinology,0.0047622933
age_group_[30-40),0.004718593
hospital_Neurology,0.0044535114
age_group_[80-90),0.004381371
hospital_Emergency/Trauma,0.0037538107
age_group_[40-50),0.0018051498
hospital_Pediatrics,0.00028857833
hospital_Endocrinology,0.0
race_Asian,0.0
age_[0-10),0.0
gender_Unknown/Invalid,0.0
weight_[0-25),0.0
weight_>200,0.0
weight_[125-150),0.0
weight_[150-175),0.0
weight_[175-200),0.0
weight_[25-50),0.0
medication_count,0.0
payer_code_MP,0.0
payer_code_CH,0.0
payer_code_DM,0.0
payer_code_FR,0.0
payer_code_SI,0.0
payer_code_OT,0.0
hospital_Surgery-Neuro,0.0
hospital_Surgery-Cardiovascular,0.0
hospital_Podiatry,0.0
diagnosis_574,0.0
diagnosis_562,0.0
age_group_[10-20),0.0
age_group_[0-10),0.0
age_group_[20-30),0.0
age_group_[90-100),0.0
