diagnosis,admissions,readmission_rate
414,9473,0.09110102396284175
428,9385,0.14150239744272775
786,5432,0.06995581737849779
486,5226,0.08476846536548029
410,5076,0.10598896769109535
427,3921,0.09053812802856415
491,3572,0.1265397536394177
715,3514,0.099601593625498
682,3206,0.08359326263256395
434,3071,0.16313904265711496
780,2857,0.08855442772138607
996,2623,0.13495996950057187
276,2502,0.13229416466826538
250.8,2440,0.10737704918032787
38,2329,0.10304851867754401
599,2198,0.10145586897179254
584,1929,0.13115603939865214
493,1802,0.09045504994450611
V57,1774,0.12401352874859076
250.6,1619,0.1686226065472514
820,1562,0.1677336747759283
435,1560,0.075
518,1544,0.09520725388601037
296,1347,0.11878247958426132
577,1288,0.1281055900621118
250.02,1260,0.0761904761904762
574,1252,0.0902555910543131
250.7,1251,0.18465227817745802
562,1232,0.08441558441558442
722,1204,0.07142857142857142
440,1191,0.15449202350965574
433,1179,0.09923664122137404
998,1136,0.11443661971830986
560,1041,0.10182516810758886
250.13,913,0.12814895947426067
453,834,0.11750599520383694
578,823,0.09720534629404617
507,781,0.1523687580025608
415,690,0.10289855072463767
789,682,0.10410557184750734
295,682,0.10410557184750734
530,666,0.1021021021021021
250.11,665,0.13984962406015036
162,661,0.10136157337367625
402,658,0.11550151975683891
724,656,0.08689024390243902
403,653,0.14854517611026033
8,631,0.13312202852614896
250.82,630,0.14603174603174604
250.12,580,0.0706896551724138
535,574,0.09233449477351917
458,573,0.09773123909249563
997,571,0.08231173380035026
733,519,0.1252408477842004
401,508,0.1220472440944882
482,500,0.134
285,499,0.1523046092184369
824,497,0.14285714285714285
590,492,0.06097560975609756
592,469,0.10874200426439233
278,465,0.05591397849462366
280,457,0.09190371991247265
197,444,0.1463963963963964
250,434,0.06912442396313365
250.1,431,0.10208816705336426
153,414,0.0966183574879227
426,407,0.09090909090909091
558,407,0.13267813267813267
511,382,0.1518324607329843
812,382,0.09424083769633508
707,378,0.15079365079365079
787,358,0.16759776536312848
730,357,0.12324929971988796
531,357,0.08123249299719888
569,355,0.09014084507042254
411,353,0.0764872521246459
198,353,0.14730878186968838
404,336,0.14285714285714285
571,332,0.1536144578313253
466,328,0.10670731707317073
V58,327,0.41896024464831805
250.4,320,0.090625
648,298,0.07046979865771812
575,298,0.10067114093959731
424,295,0.1016949152542373
572,295,0.18983050847457628
552,293,0.09215017064846416
331,292,0.1404109589041096
721,286,0.08391608391608392
600,283,0.11307420494699646
532,283,0.06713780918727916
805,274,0.0948905109489051
250.22,266,0.07518796992481203
540,258,0.031007751937984496
185,246,0.04878048780487805
436,243,0.1111111111111111
557,235,0.08936170212765958
444,222,0.14414414414414414
821,221,0.1085972850678733
250.03,220,0.06363636363636363
618,217,0.03686635944700461
348,216,0.16203703703703703
431,216,0.046296296296296294
784,216,0.05092592592592592
808,215,0.17209302325581396
250.81,209,0.12440191387559808
386,201,0.03980099502487562
515,196,0.12244897959183673
790,193,0.19689119170984457
564,191,0.1256544502617801
728,190,0.12631578947368421
536,189,0.13756613756613756
823,188,0.13297872340425532
174,183,0.07650273224043716
681,183,0.12021857923497267
250.2,182,0.06043956043956044
218,182,0.02197802197802198
553,182,0.054945054945054944
189,175,0.09142857142857143
441,175,0.08571428571428572
345,170,0.06470588235294118
188,166,0.09036144578313253
852,165,0.1393939393939394
398,164,0.12804878048780488
294,163,0.147239263803681
413,160,0.08125
781,160,0.15
274,158,0.13924050632911392
182,157,0.06369426751592357
487,152,0.07236842105263158
292,152,0.13157894736842105
729,149,0.10738255033557047
202,149,0.20134228187919462
595,146,0.10273972602739725
726,145,0.041379310344827586
537,145,0.15862068965517243
785,144,0.10416666666666667
157,141,0.14184397163120568
593,141,0.19858156028368795
443,140,0.21428571428571427
813,138,0.09420289855072464
211,137,0.06569343065693431
566,136,0.007352941176470588
291,135,0.11851851851851852
437,132,0.11363636363636363
459,130,0.09230769230769231
490,129,0.10077519379844961
288,129,0.11627906976744186
455,127,0.08661417322834646
250.42,126,0.21428571428571427
287,125,0.168
432,125,0.088
576,124,0.1935483870967742
290,123,0.12195121951219512
346,122,0.040983606557377046
154,122,0.09016393442622951
300,121,0.09917355371900827
79,121,0.08264462809917356
496,120,0.1
608,119,0.13445378151260504
807,119,0.06722689075630252
782,119,0.09243697478991597
438,118,0.1864406779661017
995,115,0.11304347826086956
425,114,0.07017543859649122
250.83,113,0.10619469026548672
626,110,0.03636363636363636
481,109,0.027522935779816515
423,108,0.12962962962962962
723,106,0.04716981132075472
112,105,0.1523809523809524
654,102,0.0196078431372549
250.41,102,0.2647058823529412
298,99,0.1919191919191919
303,98,0.07142857142857142
711,98,0.10204081632653061
284,96,0.13541666666666666
738,96,0.10416666666666667
719,95,0.08421052631578947
799,93,0.10752688172043011
420,93,0.15053763440860216
416,92,0.07608695652173914
238,89,0.11235955056179775
282,88,0.2159090909090909
850,88,0.022727272727272728
241,87,0.08045977011494253
447,87,0.16091954022988506
822,85,0.08235294117647059
V55,83,0.03614457831325301
225,82,0.17073170731707318
585,81,0.13580246913580246
253,80,0.1
250.92,80,0.1625
311,80,0.1
293,80,0.175
151,79,0.05063291139240506
53,79,0.13924050632911392
332,79,0.11392405063291139
716,79,0.08860759493670886
625,79,0.0379746835443038
340,77,0.19480519480519481
V54,77,0.03896103896103896
924,74,0.08108108108108109
962,74,0.14864864864864866
727,73,0.1095890410958904
596,72,0.06944444444444445
642,71,0.08450704225352113
250.01,71,0.028169014084507043
620,71,0.014084507042253521
555,70,0.04285714285714286
969,70,0.14285714285714285
567,69,0.2463768115942029
191,69,0.10144927536231885
275,69,0.07246376811594203
965,69,0.13043478260869565
519,68,0.08823529411764706
550,68,0.1323529411764706
155,67,0.1044776119402985
227,67,0.029850746268656716
485,66,0.09090909090909091
556,66,0.045454545454545456
220,65,0.06153846153846154
286,63,0.06349206349206349
516,63,0.15873015873015872
465,62,0.08064516129032258
860,61,0.18032786885245902
9,61,0.03278688524590164
V53,60,0.016666666666666666
421,59,0.15254237288135594
451,59,0.11864406779661017
42,56,0.125
959,56,0.125
922,55,0.18181818181818182
510,55,0.03636363636363636
512,55,0.14545454545454545
514,54,0.18518518518518517
788,54,0.16666666666666666
604,54,0.12962962962962962
573,54,0.07407407407407407
351,53,0.018867924528301886
844,53,0.03773584905660377
70,53,0.1320754716981132
396,52,0.15384615384615385
714,52,0.21153846153846154
429,52,0.15384615384615385
492,50,0.1
239,49,0.1836734693877551
349,49,0.061224489795918366
442,49,0.061224489795918366
611,48,0.125
333,48,0.10416666666666667
203,48,0.20833333333333334
304,46,0.0
851,46,0.10869565217391304
801,45,0.06666666666666667
283,45,0.044444444444444446
478,45,0.13333333333333333
183,44,0.22727272727272727
193,44,0.045454545454545456
309,44,0.11363636363636363
327,41,0.12195121951219512
233,41,0.04878048780487805
277,41,0.14634146341463414
135,41,0.0
999,40,0.05
205,40,0.025
568,40,0.075
